股票代码,股票名称,分类标签
SZ002982,湘佳股份,自选股
SZ002987,京北方,自选股
SZ002991,甘源食品,自选股
SZ002993,奥海科技,自选股
SZ003009,中天火箭,自选股
SZ003018,金富科技,自选股
SZ003022,联泓新科,自选股
SZ003023,彩虹集团,自选股
SZ003026,中晶科技,自选股
SZ003027,同兴科技,自选股
SZ003035,南网能源,自选股
SZ003040,楚天龙,自选股
SZ159740,恒生科技ETF大成,自选股
SZ159751,港股通科技ETF鹏华,自选股
SZ159788,港股通100ETF易方达,自选股
SZ159980,有色ETF大成,自选股
SZ300003,乐普医疗,自选股
SZ300005,探路者,自选股
SZ300009,安科生物,自选股
SZ300013,新宁物流,自选股
SZ300014,亿纬锂能,自选股
SZ300016,北陆药业,自选股
SZ300024,机器人,自选股
SZ300025,华星创业,自选股
SZ300031,宝通科技,自选股
SZ300034,钢研高纳,自选股
SZ300035,中科电气,自选股
SZ300037,新宙邦,自选股
SZ300046,台基股份,自选股
SZ300047,天源迪科,自选股
SZ300065,海兰信,自选股
SZ300067,安诺其,自选股
SZ300073,当升科技,自选股
SZ300105,龙源技术,自选股
SZ300113,顺网科技,自选股
SZ300115,长盈精密,自选股
SZ300119,瑞普生物,自选股
SZ300120,经纬辉开,自选股
SZ300124,汇川技术,自选股
SZ300127,银河磁体,自选股
SZ300128,锦富技术,自选股
SZ300129,泰胜风能,自选股
SZ300133,华策影视,自选股
SZ300138,晨光生物,自选股
SZ300161,华中数控,自选股
SZ300166,东方国信,自选股
SZ300174,元力股份,自选股
SZ300193,佳士科技,自选股
SZ300199,翰宇药业,自选股
SZ300215,电科院,自选股
SZ300220,金运激光,自选股
SZ300221,银禧科技,自选股
SZ300222,科大智能,自选股
SZ300223,北京君正,自选股
SZ300224,正海磁材,自选股
SZ300228,富瑞特装,自选股
SZ300240,飞力达,自选股
SZ300251,光线传媒,自选股
SZ300252,金信诺,自选股
SZ300285,国瓷材料,自选股
SZ300288,朗玛信息,自选股
SZ300289,利德曼,自选股
SZ300291,百纳千成,自选股
SZ300293,蓝英装备,自选股
SZ300315,掌趣科技,自选股
SZ300317,珈伟新能,自选股
SZ300342,天银机电,自选股
SZ300346,南大光电,自选股
